Service,Performance Measure Index,Performance Measure  Name,Alignment with Council Priority Area,2023 Value,2024 Value,Expected Future Value,Story behind the number,Performance Measure Status,Level of alignment,Approved by Service Director on
Social Programs,Performance Measure 3,CAS participants who learned new ways to solve problems (per cent),Social Equity,86,86,75,"Calgary After School (CAS) offers no-cost programs to children and youth with a focus on social-emotional learning through sports, arts, healthy living and leadership development. Programing is designed to help participants perform better in school, learn new skills and make friends. Participants gain problem solving tools, social skills and strategies that build resiliency when facing challenges. More than eight in 10 participants identified learning new ways to solve problems as a benefit of the program.",Progressing as planned,Primary,07/04/2024
Social Programs,Performance Measure 4,CAS participants who met new friends (per cent),Social Equity,90,82,75,"An important component of CAS is providing opportunities for participants to meet new people and make connections. More than eight in 10 CAS participants identified meeting new friends as a benefit of the program. CAS locations are selected based on need in the community and those locations did not change from 2023 to 2024. Many of the participants knew each at the start of the year, and therefore may not have identified as meeting ‘new’ friends in 2024.",Progressing as planned,Primary,07/04/2024
Social Programs,Performance Measure 5,Parent and guardians of Park n’ Play / Stay n’ Play participants who say the programming met their expectations (per cent).,Not Applicable,99,0,85,,Not reported,Primary,07/04/2024
Specialized Transit,Performance Measure 1,On Time Performance - Reliability (per cent),Transit,92,90,95,"The service is maintaining existing On-Time Performance, however, there continues to be a gap to the target. Post-Covid there has been increased demand for this service relative to pandemic years. More assessment is required to identify root cause(s).",Progressing as planned,Secondary,07/17/2024
Specialized Transit,Performance Measure 2,Operating Cost per Trip (dollars),Transit,36,42,39,"Operating Cost Per Trip has a gap to target. Calgary Transit Access service rates from contracted providers increased in 2024, which contributed to overall cost of service increases. We expect the gap to close as Number of Trips increases and new drivers become more experienced and efficient. We will continue to see increases in costs due to inflationary pressures.",Not progressing as planned,Secondary,07/17/2024
Specialized Transit,Performance Measure 3,At Fault customer service reports per 1000 trips,Transit,0,0,0,"Because of robust performance the target for this measure has been lowered.  Despite increasing trip volumes and a more ambitious target we are continuing to exceed the expected service delivery. This demonstrates a successful commitment to safety, positive customer experience, and effective operator training.",Progressing as planned,Secondary,07/17/2024
Specialized Transit,Performance Measure 4,Number of Trips,Transit,1018022,0,1293000,,Not reported,Not Applicable,
Specialized Transit,Performance Measure 5,Calls answered in 3 minutes or less (per cent),Transit,91,0,83,,Not reported,Not Applicable,
Stormwater Management,Performance Measure 1,Number of properties at risk of localized flooding,Not Applicable,3107,0,2932,,Not reported,Not Applicable,
Stormwater Management,Performance Measure 2,Number of properties at risk of river flooding,Not Applicable,3396,0,1590,,Not reported,Not Applicable,
Stormwater Management,Performance Measure 3,Number of localized pooling complaints,Climate,4255,1414,2882,"Stormwater pooling complaints are seasonal and variable each year, dependent on snowpack, temperature fluctuations and intensity of rainfall events. 

Year to date, this metric stands at 1414. This metric is lower than previous years where more frequent, intense storms have hit Calgary. 

With over 60,000 catch basins in Calgary, we regularly engage and educate the public to build an understanding of expectations during rain or thawing events and how their efforts can support with local drainage issues.",Progressing as planned,Secondary,07/25/2024
Stormwater Management,Performance Measure 4,Riverbank Areas Health Score (per cent),Not Applicable,69,69,72,Riverbanks (riparian areas) are integral to maintaining healthy rivers and play a role in slowing flood waters. The City’s Riparian Action Program establishes actions to protect and manage riverbanks and sets an expected future performance average of 72% city-wide. The current score is 69 % (101 assessed sites).,Progressing as planned,Not Applicable,07/25/2024
Stormwater Management,Performance Measure 5,Stormwater sediment entering the Bow River (kg/day),Not Applicable,38539,0,41300,,Not reported,Not Applicable,
Strategic Marketing & Communications,Performance Measure 1,"Calgarians who say The City has communicated well about its services, programs, policies, and plans (per cent)",Social Equity,71,62,75,"Positive perceptions about the quality of City communications have decreased nine points since spring 2023, falling to 62 per cent in 2024. These results are in line with a downward trend that began in 2020, closely tied to worsening levels of public trust impacting governments across the globe. While the measure is unlikely to rebound sufficiently to meet the anticipated 2026 performance value, the service is focused on combatting misinformation with staff training and the rollout of a new strategy. This work, along with an increased emphasis on delivering clearer, more accessible information to Calgarians should help stabilize performance.",Not progressing as planned,Secondary,07/04/2024
Strategic Marketing & Communications,Performance Measure 2,Calgarians who say they trust the information that The City provides on Calgary.ca (per cent),Not Applicable,95,0,95,,Not reported,Not Applicable,
Strategic Marketing & Communications,Performance Measure 3,Paid investment from overall spend allocated to multicultural communications and marketing advertising (per cent),Not Applicable,7,0,10,,Not reported,Not Applicable,
Strategic Marketing & Communications,Performance Measure 4,Customers that are satisfied with their overall experience working with external communications to achieve business objectives (per cent),Not Applicable,0,0,92,,Not reported,Not Applicable,
Strategic Marketing & Communications,Performance Measure 5,Media tonality (per cent of positive and neutral media coverage),Social Equity,99,96,95,"The media tonality measure looks at the percentage of news coverage classified as positive or neutral in tone and provides insight into the effectiveness of City media relations. In early 2024, amidst several polarizing issues, the tonality score was 96 per cent, a slight decline from the 99 per cent recorded at the end of 2023. Consistent with previous years, 88 per cent of the coverage was neutral, with most negative coverage arising from the mayoral recall campaign. Given the historical stability of this measure, the service anticipates future performance to remain in the mid to high nineties.",Progressing as planned,Secondary,07/04/2024
Streets,Performance Measure 1,Pavement in good or very good condition (per cent),Public Safety,41,38,40,"Currently, 38 per cent of pavements are in good to very good condition. Planned capital spending for 2024 is $50 million to $60 million. It is anticipated that the allocated funding for scheduled work in 2024 will result in pavement condition remaining at 38 per cent. The recommended annual investment for road assets is approximately 2 per cent of their total value. At the current funding level, pavement in good and very good condition will decrease to 35 per cent by 2026. The current paving backlog is $550 million.",Not progressing as planned,Primary,07/11/2024
Streets,Performance Measure 2,Paved roads over the network (per cent lane kilometer paved roads / total lane kilometer of roads),Public Safety,2,0,2,"Infrastructure, traffic, and roads are the most important issues for Calgarians according to the 2024 Spring Report. With the high importance of roads, as the winter season ended and the paving season began, 10 kilometers were paved by the end of May 2024. Total paving estimates for the paving program are anticipated to be approximately 400 lane kilometers for 2024.",Progressing as planned,Primary,07/11/2024
Streets,Performance Measure 3,Snow and ice control completion on priority 1 & 2 routes within targeted timeframes (per cent),Public Safety,98,100,95,"Winter season performance was high, and service levels were achieved for each snow event. All snow and ice control schedules were completion on priority 1 & 2 routes within targeted timeframes. According to the 2024 Spring Survey, Calgarians identified snow clearing as highly important (98 per cent), while there is an opportunity to boost satisfaction, which currently stands at 70 per cent.",Progressing as planned,Primary,07/11/2024
Streets,Performance Measure 4,Traffic Signal uptime (per cent traffic signal  uptime),Public Safety,98,99,99,"Proper functioning of signals is crucial for the safety of road network users. Current traffic signal uptime performance metric is trending positively at over 99 per cent, ensuring safe and efficient traffic management at intersections. The system currently has 1,222 traffic signals.",Progressing as planned,Primary,07/11/2024
Streets,Performance Measure 5,Signal system  connectivity (Per cent  signal system  connectivity to Mobility Operations Center),Public Safety,83,87,88,"This metric measures the proportion of traffic signals connected to the Mobility Operations Centre (MOC) for efficient traffic monitoring and incident management. The City currently oversees 1,222 traffic signals. The percentage of signal connectivity to the MOC will continue to increase as more traffic signals are installed with advanced communication capabilities. These enhancements will improve our ability to manage traffic flow and respond to incidents swiftly and effectively.",Progressing as planned,Not Applicable,07/11/2024
Taxation,Performance Measure 1,TIPP participation rate (per cent),Not Applicable,60,61,60,"While the Tax Instalment Payment Plan (TIPP) participation rate has remained relatively steady for several years, it has done so while The City has seen a steadily increasing number of total property tax accounts. As of the end of 2024 June, over 318,000 accounts participated in The City of Calgary's TIPP and the resultant TIPP participation rate is one of the highest in Canada with the goal of continuing to be so. Recent improvements such as the TIPP Self Service Registration project will help achieve that goal.",Progressing as planned,Not Applicable,07/11/2024
Taxation,Performance Measure 2,Current year’s tax arrears as a per cent of current year’s tax levy (per cent),Not Applicable,2,0,3,,Not reported,Not Applicable,
Taxation,Performance Measure 3,Operating cost to maintain property tax accounts per property tax account serviced (dollars),Not Applicable,12,0,12,,Not reported,Not Applicable,
Taxation,Performance Measure 4,Prior year’s tax arrears not collected in the current year as a per cent of current year’s tax levy (per cent),Social Equity,0,0,0,,Not reported,Secondary,
Taxation,Performance Measure 5,Service Requests closed within seven days (per cent),Not Applicable,95,99,100,This performance measure is a key factor in increasing customer satisfaction and public trust in the Taxation service. Results are commonly at or near 100 per cent but occasionally unexpected events push results lower than desired levels. The first five months of 2024 have seen every month at higher than 99 per cent except January at 97 per cent when call volumes were higher and staffing levels were lower. Efforts to improve forecasting continue so that staffing levels can be high enough to deal with unexpectedly high call volumes.,Progressing as planned,Not Applicable,07/11/2024
"Taxi, Limousine & Vehicles-for-Hire",Performance Measure 1,Livery related complaints resolved within 30 days (per cent),Public Safety,98,99,100,"From January to May, 99 per cent of livery related complaints were resolved within 30 days. Improved technical systems, coordination with our partners and maintaining effective resource management and service level agreements have ensured a timely and efficient complaint and resolution process.",Progressing as planned,Primary,07/11/2024
"Taxi, Limousine & Vehicles-for-Hire",Performance Measure 2,Customers served at Livery Transport Service counter within 15 minutes (per cent),Not Applicable,93,89,99,"Staffing levels are adequate to meet the post-pandemic increase in demand for licensing services. The Vehicle-for-Hire (VFH) licensing team has updated their processes in response to customer feedback which has contributed to the increase in customer numbers so far in 2024. With over 14,000 customers serviced and an average wait time of six minutes, VFH will be on pace to surpass 2023’s numbers while only increasing wait time marginally. Staff has also processed over 12,000 Transportation Network Company records for processing license renewals.",Progressing as planned,Secondary,07/11/2024
"Taxi, Limousine & Vehicles-for-Hire",Performance Measure 3,Number of taxi driver licenses issued,Not Applicable,4357,4224,4100,"The demand for taxi services has been increasing since the pandemic, leading to a rise in the number of drivers and licenses issued. Work continues towards an online licensing platform which will remove additional barriers for taxi drivers seeking to enter the industry.",Progressing as planned,Secondary,07/11/2024
"Taxi, Limousine & Vehicles-for-Hire",Performance Measure 4,Number of licenses issued to Transportation Network Drivers (ride-share),Not Applicable,11657,14900,4500,"The demand for ride-sharing services has surpassed 75 per cent of all vehicle-for-hire trips in Calgary and is expected to continue to increase, highlighting the need for enhanced efficiency in the renewal process for Transportation Network Companies (TNC) drivers. To address this, the Vehicles-for-Hire licensing team has shifted its focus in 2024 to conducting renewals for Transportation Network Drivers' Licenses in person at the front counter. This customer-centric approach, developed in collaboration with the TNC broker, aims to reduce delays caused by waiting for document uploads and adherence to TNC availability and processing times.",Progressing as planned,Secondary,07/11/2024
"Taxi, Limousine & Vehicles-for-Hire",Performance Measure 5,Number of accessible vehicle trips provided through the City’s on-demand centralized dispatch system for those requiring a wheelchair accessible taxi,Social Equity,30974,17500,25000,"The Accessible Taxi Incentive Program and the Wheelchair Accessible Taxi service (WAV Calgary) were implemented in 2019 to provide on-demand taxi service for people who require assistance to accommodate a wheelchair or other mobility device. Since then, trip volumes have been increasing and have surpassed pre-pandemic levels. The service is continuing to reach out to advocacy groups to increase awareness of WAV Calgary.",Progressing as planned,Primary,07/11/2024
Urban Forestry,Performance Measure 1,Number of trees inspected and/or pruned,Public Safety,76089,11750,68000,"Risk-based tree inspections and pruning continue to be a service priority. This proactive work increases the resilience of the urban forest and leads to improved lifespans for trees and less damage from severe weather, such as extreme winds or late/early seasonal snowfalls. The City also completes regular tree assessments to ensure asset management data is accurate, enabling informed decision making and the efficient use of available funds. Risk-based assessments of 50,000 trees begin in the fall of 2024.  As of mid-June, over 11,750 trees have been pruned.",Progressing as planned,Primary,07/09/2024
Urban Forestry,Performance Measure 2,Number of trees planted annually,Climate,6835,1127,7500,"In 2024, the service plans to plant 8,000 trees, 6,000 of which were lifecycle replacements. To improve progress towards the Municipal Development Plan target (we’re currently at about 50 per cent of the target), Urban Forestry will plant another 2,000 trees (8,000 in total). To fund the budget shortfall in caliper trees, we applied to a federal grant program. Due to water restrictions, a 4-week hold was put on planting operations. At mid-year, 1127 trees were planted, and we forecast that our annual goal will be reached.",Not progressing as planned,Primary,07/16/2024
Urban Forestry,Performance Measure 3,Calgary's urban canopy percentage (per cent),Not Applicable,8,0,9,,Not reported,Not Applicable,
Urban Forestry,Performance Measure 4,Public Tree Maintenance Cost Per Calgarian (dollars),Not Applicable,11,0,10,,Not reported,Not Applicable,
Urban Forestry,Performance Measure 5,Number of 3-1-1 tree emergency calls,Not Applicable,786,0,750,,Not reported,Not Applicable,
Waste & Recycling,Performance Measure 1,Residential Waste Diverted from Landfill through Blue and Green Cart Programs (per cent),Not Applicable,45,0,51,,Progressing as planned,Not Applicable,
Waste & Recycling,Performance Measure 2,"Residential Waste Generated through Black, Blue and Green Cart Programs (kilograms per household)",Not Applicable,867,411,825,"Residential garbage collected is returning to normal levels after a surge in 2020 and 2021 due to pandemic restrictions, a trend that was seen nationwide. Overall, waste generated is down 3 per cent on a per household basis compared to the same time last year. Our ongoing communication and education efforts aim to help Calgarians reduce waste, increase recycling and composting, and reduce contamination in cart programs. Let's keep working together to enhance the value of recyclable materials and improve compost quality for a cleaner, safer environment.",Progressing as planned,Not Applicable,07/16/2024
Waste & Recycling,Performance Measure 3,Calgarians who are satisfied with the job The City is doing providing Waste and Recycling services (per cent),Not Applicable,86,87,86,Results continue to show that Calgarians are satisfied with the job The City is doing providing waste and recycling services. This measure increased by one point compared to 2023. It’s reasonable to expect that this baseline will moderately improve as we work towards Waste & Recycling Services’ goals of delivering value through waste services and strengthening business and financial management.,Progressing as planned,Not Applicable,07/16/2024
Waste & Recycling,Performance Measure 4,"Waste Collection Interruptions per 10,000 Scheduled Stops",Not Applicable,5,5,5,"Interruptions to waste collection are within normal ranges. Historically, there has been a higher proportion of uncollected carts in the pilot areas for residential black cart collection serviced by our contractor. This has normalized, and in Q2, the pilot areas represented 25 per cent of collection interruptions for black cart service. We saw a slight increase in missed collections overall with new collection days and routes introduced in early 2024. We expect this to stabilize as customers and drivers adjust to new collection days. We continue to seek opportunities to enhance processes to ensure seamless waste collection for Calgarians.",Progressing as planned,Not Applicable,07/16/2024
Waste & Recycling,Performance Measure 5,"Greenhouse Gas (GHG) Emission Reduction from Landfill Gas Management (1,000 tonnes CO2e (kilotonnes))",Not Applicable,63,0,63,,Progressing as planned,Not Applicable,
Wastewater Collection & Treatment,Performance Measure 1,Years remaining of installed treatment plant capacity,Not Applicable,8,0,5,,Not reported,Not Applicable,
Wastewater Collection & Treatment,Performance Measure 2,"Properties impacted by interruption to wastewater service (per 1,000)",Not Applicable,10,0,11,,Not reported,Not Applicable,
Wastewater Collection & Treatment,Performance Measure 3,Time it takes to respond to wastewater service interruption (hours),Not Applicable,6,5,3,"Citizens value quick response times to sewer backups. This measure reflects the time it takes the Water Utility to respond to a customer that is experiencing a wastewater backup. This metric currently stands at 5.08 hours.  While this time has improved slightly from the previous year, we continue to seek opportunities to address risks in the collection system.  Currently, a dedicated project team is further exploring related processes including succession planning, ride-alongs with crews, 311 processes and infrastructure assessments.",Progressing as planned,Not Applicable,07/25/2024
Wastewater Collection & Treatment,Performance Measure 4,Regulations met for treated wastewater returned to the river (per cent),Public Safety,100,100,100,"Wastewater is a highly regulated, essential, and public health focused service. The service is greatly valued by customers, and they expect their wastewater is cleaned to protect the health of the river. Calgary's three wastewater treatment plants continue treating wastewater better than the quality specified by Alberta Environment and Protected Areas, 100% of the time. 

In order to maintain this high standard, a key focus will be to prioritize significant wastewater plant and collection system upgrades over the next few business cycles.",Progressing as planned,Primary,07/25/2024
Wastewater Collection & Treatment,Performance Measure 5,Electricity and heating powered by wastewater biogas (per cent),Not Applicable,8,0,25,,Not reported,Not Applicable,
Water Treatment & Supply,Performance Measure 1,Regulations met for treated drinking water quality (per cent),Public Safety,100,100,100,"Provincial and federal regulations are in place to ensure that water is safe for our customers to drink.  Based on year-to-date testing, including the recent 5-day Boil Water Advisory in Bowness, The City’s compliance rate remains at 99.9 per cent. We continue to work with our regulators to navigate operational and reporting requirements.",Progressing as planned,Primary,07/26/2024
Water Treatment & Supply,Performance Measure 2,"Properties impacted by water outages per 1,000 properties",Not Applicable,41,0,33,,Not reported,Not Applicable,
Water Treatment & Supply,Performance Measure 3,Number of days of water conservation measures (restrictions) per year,Climate,78,25,7,Calgary’s drought forecast improved significantly with spring conditions and therefore no restrictions were put into place for drought purposes spring 2024.  This metric does however reflect restrictions until end of June as a result of the Bearspaw feeder main break. A total of 25 days of conservation measures are reported here – demonstrating Calgarians collective commitment and action during the emergency response and repair. This number will reflect higher in year-end given restrictions are still in effect (at time of reporting).,Progressing as planned,Secondary,07/26/2024
Water Treatment & Supply,Performance Measure 4,Average time to return to regular water service due to a water main break (hours),Not Applicable,72,0,48,,Not reported,Not Applicable,
Water Treatment & Supply,Performance Measure 5,Total population Calgary (region) can provide water to on a peak day,Not Applicable,1623932,0,1623932,,Not reported,Not Applicable,
